,movie_id,primary_title,original_title,start_year,genres,average_rating,num_votes,persons_name,persons_job,title_norm,id,release_date,movie,production_budget,domestic_gross,worldwide_gross
43,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Julie Anne Robinson,director,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
44,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Bobby Coleman,actor,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
45,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Liam Hemsworth,actor,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
46,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Jeff Van Wie,writer,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
57,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Ashley Judd,actress,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
58,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Julie Andrews,actress,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
59,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Lowell Ganz,writer,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
60,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Dwayne Johnson,actor,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
61,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Michael Lembeck,director,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
62,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Babaloo Mandel,writer,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
63,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Stephen Merchant,actor,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
64,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Randi Mayem Singer,writer,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
65,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,Joshua Sternin,writer,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
66,tt0808510,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,J.R. Ventimilia,writer,tooth fairy 2010,23,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386
67,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Bruce Boxleitner,actor,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
68,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Jeff Bridges,actor,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
69,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Adam Horowitz,writer,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
70,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Edward Kitsis,writer,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
71,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Brian Klugman,writer,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
72,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Steven Lisberger,writer,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
73,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Olivia Wilde,actress,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
74,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Garrett Hedlund,actor,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
75,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Lee Sternthal,writer,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
76,tt1104001,TRON: Legacy,Tron,2010,"Action,Adventure,Fantasy",6.8,296211,Joseph Kosinski,director,tron: legacy 2010,58,"Dec 17, 2010",Tron: Legacy,200000000,172062763,400062763
127,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,James Allen Bradley,producer,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
128,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Joe Dain,producer,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
129,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Silas Weir Mitchell,actor,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
130,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Peter Onorati,actor,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
131,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Michael W. Watkins,director,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
132,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Jason Thompson,actor,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
133,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Luke Daniels,producer,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
134,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Brad Tiemann,writer,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
135,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Erin Reese,actress,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
136,tt1129412,Circle,Circle,2010,"Horror,Thriller",3.4,610,Sharon Nixon Kelly,producer,circle 2010,69,"Aug 27, 2010",Circle,2000000,10024,10024
147,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Brad Pitt,actor,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
148,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Will Ferrell,actor,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
149,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Tina Fey,actress,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
150,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Tom McGrath,director,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
151,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Alan Schoolcraft,writer,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
152,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Lorne Balfe,composer,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
153,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Denise Nolan Cascino,producer,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
154,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Jonah Hill,actor,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
155,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Brent Simons,writer,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
156,tt1001526,Megamind,Megamind,2010,"Action,Animation,Comedy",7.3,207488,Lara Breay,producer,megamind 2010,47,"Nov 5, 2010",Megamind,130000000,148415853,321887208
177,tt1328873,Death Calls,Death Calls,2010,"Action,Adventure,Mystery",4.6,33,Ken Del Conte,director,death calls 2010,67,"Dec 31, 2010",Death Calls,290000,0,0
178,tt1328873,Death Calls,Death Calls,2010,"Action,Adventure,Mystery",4.6,33,Hector Echavarria,actor,death calls 2010,67,"Dec 31, 2010",Death Calls,290000,0,0
179,tt1328873,Death Calls,Death Calls,2010,"Action,Adventure,Mystery",4.6,33,Sean Galuszka,actor,death calls 2010,67,"Dec 31, 2010",Death Calls,290000,0,0
180,tt1328873,Death Calls,Death Calls,2010,"Action,Adventure,Mystery",4.6,33,Curtis Petersen,producer,death calls 2010,67,"Dec 31, 2010",Death Calls,290000,0,0
181,tt1328873,Death Calls,Death Calls,2010,"Action,Adventure,Mystery",4.6,33,Ron Roggé,actor,death calls 2010,67,"Dec 31, 2010",Death Calls,290000,0,0
182,tt1328873,Death Calls,Death Calls,2010,"Action,Adventure,Mystery",4.6,33,Yolanda Pecoraro,actress,death calls 2010,67,"Dec 31, 2010",Death Calls,290000,0,0
183,tt1328873,Death Calls,Death Calls,2010,"Action,Adventure,Mystery",4.6,33,Robin Fate Bealmear,composer,death calls 2010,67,"Dec 31, 2010",Death Calls,290000,0,0
184,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Tom Selleck,actor,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
185,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Katherine Heigl,actress,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
186,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Catherine O'Hara,actress,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
187,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Ashton Kutcher,actor,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
188,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Scott Aversano,producer,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
189,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Bob DeRosa,writer,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
190,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Jason Goldberg,producer,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
191,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Ted Griffin,writer,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
192,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Mike Karz,producer,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
193,tt1103153,Killers,Killers,2010,"Action,Comedy,Romance",5.4,82237,Robert Luketic,director,killers 2010,54,"Jun 4, 2010",Killers,75000000,47059963,95572749
244,tt1375666,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1841066,Leonardo DiCaprio,actor,inception 2010,38,"Jul 16, 2010",Inception,160000000,292576195,835524642
245,tt1375666,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1841066,Hans Zimmer,composer,inception 2010,38,"Jul 16, 2010",Inception,160000000,292576195,835524642
246,tt1375666,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1841066,Joseph Gordon-Levitt,actor,inception 2010,38,"Jul 16, 2010",Inception,160000000,292576195,835524642
247,tt1375666,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1841066,Christopher Nolan,director,inception 2010,38,"Jul 16, 2010",Inception,160000000,292576195,835524642
248,tt1375666,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1841066,Ellen Page,actress,inception 2010,38,"Jul 16, 2010",Inception,160000000,292576195,835524642
249,tt1375666,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1841066,Emma Thomas,producer,inception 2010,38,"Jul 16, 2010",Inception,160000000,292576195,835524642
250,tt1375666,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1841066,Ken Watanabe,actor,inception 2010,38,"Jul 16, 2010",Inception,160000000,292576195,835524642
272,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,Essence Atkins,actress,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
273,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,Tempestt Bledsoe,actress,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
274,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,Marc Ellis,composer,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
275,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,David M. Matthews,director,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
276,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,Denise Boutte,actress,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
277,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,Valerie Enloe,producer,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
278,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,Cordell Moore,actor,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
279,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,Bryce Southard,producer,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
280,tt1289419,N-Secure,N-Secure,2010,"Crime,Drama,Thriller",3.6,587,Julius Lewis,writer,n-secure 2010,54,"Oct 15, 2010",N-Secure,1600000,2595644,2595644
281,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Matt Damon,actor,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
282,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Brian Helgeland,writer,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
283,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Greg Kinnear,actor,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
284,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Jason Isaacs,actor,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
285,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Tim Bevan,producer,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
286,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Eric Fellner,producer,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
287,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Paul Greengrass,director,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
288,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Lloyd Levin,producer,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
289,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Igal Naor,actor,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
290,tt0947810,Green Zone,Green Zone,2010,"Action,Drama,Thriller",6.8,122132,Rajiv Chandrasekaran,writer,green zone 2010,98,"Mar 12, 2010",Green Zone,100000000,35497337,97523020
311,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Jude Law,actor,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
312,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Liev Schreiber,actor,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
313,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Forest Whitaker,actor,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
314,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Marco Beltrami,composer,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
315,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Alice Braga,actress,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
316,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Miguel Sapochnik,director,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
317,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Scott Stuber,producer,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
318,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Garrett Lerner,writer,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
319,tt1053424,Repo Men,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,96144,Eric Garcia,writer,repo men 2010,13,"Mar 19, 2010",Repo Men,32000000,13942007,18195238
329,tt1391137,Why Did I Get Married Too?,Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",4.6,8653,Janet Jackson,actress,why did i get married too? 2010,16,"Apr 2, 2010",Why Did I Get Married Too?,20000000,60095852,60831067
330,tt1391137,Why Did I Get Married Too?,Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",4.6,8653,Reuben Cannon,producer,why did i get married too? 2010,16,"Apr 2, 2010",Why Did I Get Married Too?,20000000,60095852,60831067
331,tt1391137,Why Did I Get Married Too?,Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",4.6,8653,Sharon Leal,actress,why did i get married too? 2010,16,"Apr 2, 2010",Why Did I Get Married Too?,20000000,60095852,60831067
332,tt1391137,Why Did I Get Married Too?,Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",4.6,8653,Jill Scott,actress,why did i get married too? 2010,16,"Apr 2, 2010",Why Did I Get Married Too?,20000000,60095852,60831067
333,tt1391137,Why Did I Get Married Too?,Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",4.6,8653,Aaron Zigman,composer,why did i get married too? 2010,16,"Apr 2, 2010",Why Did I Get Married Too?,20000000,60095852,60831067
334,tt1391137,Why Did I Get Married Too?,Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",4.6,8653,Tyler Perry,actor,why did i get married too? 2010,16,"Apr 2, 2010",Why Did I Get Married Too?,20000000,60095852,60831067
341,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,Liev Schreiber,actor,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
342,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,Angelina Jolie,actress,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
343,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,James Newton Howard,composer,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
344,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,Lorenzo di Bonaventura,producer,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
345,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,Chiwetel Ejiofor,actor,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
346,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,Phillip Noyce,director,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
347,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,Daniel Olbrychski,actor,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
348,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,Sunil Perkash,producer,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
349,tt0944835,Salt,Salt,2010,"Action,Mystery,Thriller",6.4,277204,Kurt Wimmer,writer,salt 2010,50,"Jul 23, 2010",Salt,130000000,118311368,290650494
359,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,Nicolas Cage,actor,the sorcerer's apprentice 2010,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000,63150991,217986320
360,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,Alfred Molina,actor,the sorcerer's apprentice 2010,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000,63150991,217986320
361,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,Jon Turteltaub,director,the sorcerer's apprentice 2010,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000,63150991,217986320
362,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,Jay Baruchel,actor,the sorcerer's apprentice 2010,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000,63150991,217986320
363,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,Carlo Bernard,writer,the sorcerer's apprentice 2010,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000,63150991,217986320
364,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,Lawrence Konner,writer,the sorcerer's apprentice 2010,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000,63150991,217986320
365,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,Mark Rosenthal,writer,the sorcerer's apprentice 2010,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000,63150991,217986320
366,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,143862,Doug Miro,writer,the sorcerer's apprentice 2010,44,"Jul 14, 2010",The Sorcerer's Apprentice,160000000,63150991,217986320
